id,type,agent,score,success,cycle
exp_c10_0076,speed,,0,False,c10
exp_c10_0077,quality,,0,False,c10
exp_c10_0078,coding,,0,False,c10
exp_c10_0079,arabic,,0,False,c10
exp_c10_0080,reasoning,,0,False,c10
exp_c10_0081,creativity,,0,False,c10
exp_c10_0082,medical,,0,False,c10
exp_c10_0083,strategy,,0,False,c10
exp_c10_0084,security,,0,False,c10
exp_c10_0085,multilingual,,0,False,c10
exp_c11_0086,speed,,0,False,c11
exp_c11_0087,quality,,0,False,c11
exp_c11_0088,coding,,0,False,c11
exp_c11_0089,arabic,,0,False,c11
exp_c11_0090,reasoning,,0,False,c11
exp_c11_0091,creativity,,0,False,c11
exp_c11_0092,medical,,0,False,c11
exp_c11_0093,strategy,,0,False,c11
exp_c11_0094,security,,0,False,c11
exp_c11_0095,multilingual,,0,False,c11
